first_name,middle_name,last_name,suffix,nickname,birthday,gender,start_date,end_date,party,class,type,state,district,bioguide,thomas,govtrack
Rudolph,Eli,Boschwitz,,Rudy,1930-11-07,,1978-01-01,1990-10-28,Republican,2,sen,MN,,B000647,01288,401611
Gordon,John,Humphrey,,,1940-10-09,,1979-01-15,1990-10-28,Republican,2,sen,NH,,H000951,01365,405795
James,Albertus,McClure,,,1924-12-27,M,1967-01-10,1990-10-28,Republican,2,sen,ID,,M000346,01394,407355
James,Terry,Sanford,,,1917-08-20,M,1986-01-01,1992-10-09,Democrat,3,sen,NC,,S000055,01427,409562
Brockman,,Adams,,Brock,1927-01-13,,1965-01-04,1992-10-09,Democrat,3,sen,WA,,A000031,00005,400692
Alan,,Cranston,,,1914-06-19,,1969-01-03,1992-10-09,Democrat,3,sen,CA,,C000877,01311,402990
Alan,John,Dixon,,,1927-07-07,,1981-01-05,1992-10-09,Democrat,3,sen,IL,,D000366,01317,403483
Wyche,,Fowler,Jr.,,1940-10-06,,1977-01-04,1992-10-09,Democrat,3,sen,GA,,F000329,00405,404277
Edwin,Jacob,Garn,,Jake,1932-10-12,M,1974-01-01,1992-10-09,Republican,3,sen,UT,,G000072,01338,404444
Robert,Walter,Kasten,Jr.,,1942-06-19,M,1975-01-14,1992-10-09,Republican,3,sen,WI,,K000019,00619,406190
Warren,Bruce,Rudman,,,1930-05-18,M,1980-01-01,1992-10-09,Republican,3,sen,NH,,R000497,01426,409456
Steven,Douglas,Symms,,,1938-04-23,,1973-01-03,1992-10-09,Republican,3,sen,ID,,S001138,01132,410588
Timothy,E.,Wirth,,,1939-09-22,M,1975-01-14,1992-10-09,Democrat,3,sen,CO,,W000647,01236,411801
Jim,,Bates,,,1941-07-21,,1983-01-03,1990-10-28,Democrat,,rep,CA,44,B000236,00065,401231
Lloyd,Millard,Bentsen,Jr.,,1921-02-11,,1947-01-03,1993-12-31,Democrat,1,sen,TX,,B000401,01282,401391
Corinne,Claiborne,Boggs,,Lindy,1916-03-13,,1973-01-03,1990-10-28,Democrat,,rep,LA,2,B000592,00103,401560
Douglas,Harry,Bosco,,,1946-07-28,,1983-01-03,1990-10-28,Democrat,,rep,CA,1,B000648,00112,401612
Joseph,Edward,Brennan,,,1934-11-02,M,1987-01-06,1990-10-28,Democrat,,rep,ME,1,B000798,00122,401755
John,William,Buechner,,Jack,1940-06-04,M,1987-01-06,1990-10-28,Republican,,rep,MO,2,B001036,00144,401986
Quentin,Northrup,Burdick,,,1908-06-19,,1959-01-07,1992-09-08,Democrat,1,sen,ND,,B001077,01297,402023
Richard,Bruce,Cheney,,,1941-01-30,M,1979-01-15,1990-10-28,Republican,,rep,WY,0,C000344,00193,402484
James,McClure,Clarke,,,1917-06-12,M,1983-01-03,1990-10-28,Democrat,,rep,NC,11,C000462,00200,402600
James,Andrew,Courter,,,1941-10-14,M,1979-01-15,1990-10-28,Republican,,rep,NJ,12,C000809,00241,402928
George,William,Crockett,Jr.,,1909-08-10,M,1979-01-15,1990-10-28,Democrat,,rep,MI,13,C000919,00252,403031
John,Claggett,Danforth,,,1936-09-05,M,1976-01-01,1994-12-01,Republican,1,sen,MO,,D000030,01314,403171
Dennis,Webster,DeConcini,,,1937-05-08,,1977-01-04,1994-12-01,Democrat,1,sen,AZ,,D000185,01315,403346
Charles,Gywnne,Douglas,III,,1942-12-02,M,1989-01-03,1990-10-28,Republican,,rep,NH,2,D000451,00312,403561
David,Ferdinand,Durenberger,,,1934-08-19,M,1978-01-01,1994-12-01,Republican,1,sen,MN,,D000566,01321,403669
Royden,Patrick,Dyson,,,1948-11-15,,1981-01-05,1990-10-28,Democrat,,rep,MD,1,D000593,00329,403696
Walter,Edward,Fauntroy,,,1933-02-06,M,1971-01-21,1990-10-28,Democrat,,rep,DC,0,F000046,00372,404006
Ronnie,Gene,Flippo,,,1937-08-15,,1977-01-04,1990-10-28,Democrat,,rep,AL,5,F000208,00390,404163
